feature_id,feature_label,omics_layer,original_primary_candidate_tier,evidence_tier,recalculated_manuscript_evidence_tier,tier_match_flag,tier_mismatch_reason,source_status,notes
microbiome::microbe__cholic_acid-C14:0,microbiome::microbe__cholic_acid-C14:0,microbiome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.1.69,EC:2.7.1.69,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:5.1.3.3,EC:5.1.3.3,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:1.2.7.3,EC:1.2.7.3,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.5.1.49,EC:2.5.1.49,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.8.1.7,EC:2.8.1.7,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.4.21.89,EC:3.4.21.89,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.6.3.17,EC:3.6.3.17,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.6.4.13,EC:3.6.4.13,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:4.1.1.3,EC:4.1.1.3,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:4.1.2.13,EC:4.1.2.13,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:5.2.1.8,EC:5.2.1.8,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.2.1.52,EC:3.2.1.52,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.1.3.16,EC:3.1.3.16,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.6.1.1,EC:3.6.1.1,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.2.1.20,EC:3.2.1.20,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.3.1.54,EC:2.3.1.54,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.1.11,EC:2.7.1.11,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:1.2.7.11,EC:1.2.7.11,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:1.3.99.22,EC:1.3.99.22,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.4.16.4,EC:3.4.16.4,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.1.1.198,EC:2.1.1.198,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:1.4.1.13,EC:1.4.1.13,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:1.4.1.14,EC:1.4.1.14,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.2.1.22,EC:3.2.1.22,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:6.3.1.2,EC:6.3.1.2,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:6.1.1.7,EC:6.1.1.7,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:4.3.3.7,EC:4.3.3.7,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.5.1.88,EC:3.5.1.88,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.2.1.23,EC:3.2.1.23,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.6.5,EC:2.7.6.5,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.6.1.55,EC:3.6.1.55,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:4.3.1.17,EC:4.3.1.17,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:6.4.1.2,EC:6.4.1.2,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.6.1.1,EC:2.6.1.1,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:1.97.1.4,EC:1.97.1.4,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.1.1.72,EC:2.1.1.72,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.2.1.1,EC:2.2.1.1,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.4.1.1,EC:2.4.1.1,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.4.2.14,EC:2.4.2.14,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.5.1.3,EC:2.5.1.3,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.1.2,EC:2.7.1.2,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.1.48,EC:2.7.1.48,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.11.1,EC:2.7.11.1,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.13.3,EC:2.7.13.3,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.7.6,EC:2.7.7.6,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:2.7.7.7,EC:2.7.7.7,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.1.11.6,EC:3.1.11.6,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.1.21.3,EC:3.1.21.3,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.1.26.4,EC:3.1.26.4,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.1.3.18,EC:3.1.3.18,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.4.11.18,EC:3.4.11.18,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.4.22.70,EC:3.4.22.70,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.5.1.28,EC:3.5.1.28,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.6.1.27,EC:3.6.1.27,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.6.3.14,EC:3.6.3.14,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.6.3.21,EC:3.6.3.21,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:3.6.4.12,EC:3.6.4.12,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:4.1.3.27,EC:4.1.3.27,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:4.2.1.2,EC:4.2.1.2,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:4.2.1.20,EC:4.2.1.20,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:4.4.1.8,EC:4.4.1.8,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:5.1.3.2,EC:5.1.3.2,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:5.4.2.12,EC:5.4.2.12,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:5.99.1.2,EC:5.99.1.2,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:6.1.1.20,EC:6.1.1.20,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:6.2.1.3,EC:6.2.1.3,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__EC:6.3.5.5,EC:6.3.5.5,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
cis_7_10_13_16_docosatetraenoic_acid,cis_7_10_13_16_docosatetraenoic_acid,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
clostridia_o_clostridiales_asv11000,clostridia_o_clostridiales_asv11000,microbiome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__107,107,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__5-Aminopentanoate,5-Aminopentanoate,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Acetic_acid,Acetic acid,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Aspartate,Aspartate,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Betaine,Betaine,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Bis_2-Ethylhexyl_Phthalate,Bis(2-Ethylhexyl)Phthalate,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Cholate,Cholate,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Citrulline,Citrulline,metabolome,Tier 4 - model-prioritized exploratory candidate,Evidence Tier II,Evidence Tier II,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
