source_item,dataset_or_table,accession_or_identifier,PMID_or_DOI,source_url_or_database,local_processed_file,generating_script,sha256,public_release_status,notes
S2,Supplementary_Table_S2_Evidence_map_field_dictionary_and_coding_rules.xlsx,,,manuscript supplementary material,,,767e3a45bf65397ddc2ae3a6595e109f373451a16731a24944656c894ca8ea3e,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
S3,Supplementary_Table_S3_491_IBD_gut_multiomics_evidence_map.xlsx,,,manuscript supplementary material,,,ee7d9a9dcf8da015dcd0e5a433a54b0a110ae2675053c7e0633e506e8a87663b,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
S4,Supplementary_Table_S4_six_dimension_scoring_framework_revised_tier_rules_with_formulas.xlsx,,,manuscript supplementary material,,,dd42f9637ff5b04344d93c0aa0716a9fa8fd8fa9ba401727db7d3ada7f4771b4,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
S5,Supplementary_Table_S5_candidate_fingerprint_features_revised_selection_audit_with_filtering_chain.xlsx,,,manuscript supplementary material,,,b36a9582c6aae54e525364b7ac8b744b10f1337a6e0ab6501e39cdc5d70de3e8,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
S6,Supplementary_Table_S6_IBD_EMSA_v1_paired_sample_metadata_with_feature_filtering_audit.xlsx,,,manuscript supplementary material,,,e95fcb1e3ec3647084a8db9cedd8a746bc3535eae007215afe6a49ee3a890ce1,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
S7,Supplementary_Table_S7_model_features_coefficients_direction.xlsx,,,manuscript supplementary material,,,8173ebc246e63218315bc6fa9c6c252c9785e7addf870dcad65805e1d0ec4403,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
S8,Supplementary_Table_S8_CV_negative_control_leakage_reproducibility.xlsx,,,manuscript supplementary material,,,dd2ca5987f3049c89af738095d98b0ce3064a629938f6ee13ac436c916df038d,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
S9,Supplementary_Table_S9_external_validation_datasets_and_results_with_ST001000_matching_audit.xlsx,,,manuscript supplementary material,,,e355096794c2dd33209eac23c90da4c26d3458e61f7e5383693e1b0569ae5235,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
S10,Supplementary_Table_S10_clinical_field_availability_and_association_results.xlsx,,,manuscript supplementary material,,,2653f7e2cf66f82245f6a60fa5765e3192c296cf949be8495c9ca315d5cdfc99,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
Figure 2E human sample-source correction,Supplementary_Table_S3_Evidence_Map_revised_Figure2E_human_sample_fixed.xlsx; sheet Figure2E_human_sample_source,,,curated supplementary evidence map,data/figure_source_data/Figure2_panel_E_human_sample_source_fixed_counts.csv,scripts/figures/build_Figure2_panel_E_human_sample_source_fixed.py,942fd7a0821bcf61075e1f7b14ed371f7dca589f6d9897764ddc26d9a3d1b397,release_ready_summary_table,"Corrected human cohort sample-source distribution; animal, cell, organoid and other mechanistic model components excluded from Panel E counts."
